Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"20,395"
2. Krediti i potrazivanja od banaka,"35,103"
3. Krediti i potrazivanja od klijenata,"123,610"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"8,202"
8.a. - raspolozive za prodaju,"3,202"
8.b. - koje se drze do dospijeca,"5,000"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,"2,086"
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","7,355"
13. Nematerijalna sredstva,236
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,107
16. Ostala finansijska potrazivanja,"21,953"
17. Ostala poslovna potrazivanja,"30,235"
18. UKUPNA SREDSTVA:,"249,282"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"185,653"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"30,378"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,611
28. Tekuce poreske obaveze,0
29. Odlozene poreske obaveze,
30. Ostale obaveze,"2,247"
31. Subordinisani dug,"1,308"
32. UKUPNE OBAVEZE:,"220,198"
Kapital,IZNOS
33. Akcijski kapital,"25,659"
34. Emisione premije,
35. Nerasporedjena dobit,708
36. Dobit/gubitak tekuce godine,276
37. Ostale rezerve,"2,442"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"29,085"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"249,282"
