R. br.,AKTIVA,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"31,349"
1.a.,Gotov novac i nekamatonosni racuni depozita,"13,335"
1.b.,Kamatonosni racuni depozita,"18,014"
2.,"Aktiva za trgovinu i raspoloziva za prodaju, izuzev akcija",209
2.a.,HoV za trgovinu,
2.b.,HoV raspolozive za prodaju,209
3.,Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
4.,Krediti i poslovi lizinga,"34,020"
4.a.,Manje:Rezerve za kreditne gubitke,808
4.b.,Neto krediti i poslovi lizinga,"33,211"
5.,Hartije od vrijednosti koje se drze do dospijeca,401
6.,Poslovni prostor i ostala fiksna aktiva,"2,687"
7.,Stecena aktiva,491
8.,Ulaganja u kapital drugih pravnih lica,"1,457"
9.,Ostala aktiva,"1,494"
10.,MINUS:Rezerve za potencijalne gubitke na ostalu aktivu (osim pozicije 4.a),175
11.,UKUPNA AKTIVA:,"71,123"
R. br.,PASIVA,iznos
iznos,,
R. br.,OBAVEZE,IZNOS
12.,Depoziti,"58,111"
12.a.,Nekamatonosni depoziti,"28,727"
12.b.,Kamatonosni depoziti,"29,384"
13.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
14.,Obaveze po uzetim kreditima i pozajmicama,163
14.a.,Kratkorocne - do jedne godine,
14.b.,Dugorocne - preko jedne godine,163
15.,Obaveze prema Vladi,"1,536"
16.,Ostale pozajmice - dospjele obaveze,
16.a.,Dospjele obaveze,
16.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
17.,Ostale obaveze,365
18.,Rezerve za potencijalne kreditne gubitke po vanbilansnim izlozenostima,200
19.,Subordinisani dugovi,
20.,UKUPNE OBAVEZE:,"60,376"
21.,Manjinsko ucesce akcionara,
R. br.,KAPITAL,IZNOS
22.,Povlascene akcije,
23.,Obicne akcije,"9,758"
24.,Emisione premije,
25.,Nerasporedjena dobit/gubitak,959
26.,Ostali kapital,30
27.,UKUPAN KAPITAL: (22. do 26.),"10,747"
28.,UKUPNA PASIVA: (20. + 21. + 27. ),"71,123"
