R. br.,AKTIVA,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"200,657"
1.a.,Gotov novac i nekamatonosni racuni depozita,"103,992"
1.b.,Kamatonosni racuni depozita,"96,665"
2.,"Aktiva za trgovinu i raspoloziva za prodaju, izuzev akcija",120
2.a.,HoV za trgovinu,
2.b.,HoV raspolozive za prodaju,120
3.,Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
4.,Krediti i poslovi lizinga,"531,696"
4.a.,Manje:Rezerve za kreditne gubitke,"6,692"
4.b.,Neto krediti i poslovi lizinga,"525,005"
5.,Hartije od vrijednosti koje se drze do dospijeca,"1,055"
6.,Poslovni prostor i ostala fiksna aktiva,"12,494"
7.,Stecena aktiva,45
8.,Ulaganja u kapital drugih pravnih lica,385
9.,Ostala aktiva,"16,802"
10.,MINUS:Rezerve za potencijalne gubitke na ostalu aktivu (osim pozicije 4.a),30
11.,UKUPNA AKTIVA:,"756,532"
R. br.,PASIVA,iznos
iznos,,
R. br.,OBAVEZE,IZNOS
12.,Depoziti,"631,951"
12.a.,Nekamatonosni depoziti,"51,563"
12.b.,Kamatonosni depoziti,"580,388"
13.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
14.,Obaveze po uzetim kreditima i pozajmicama,"48,679"
14.a.,Kratkorocne - do jedne godine,
14.b.,Dugorocne - preko jedne godine,
15.,Obaveze prema Vladi,"8,086"
16.,Ostale pozajmice - dospjele obaveze,
16.a.,Dospjele obaveze,
16.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
17.,Ostale obaveze,"17,713"
18.,Rezerve za potencijalne kreditne gubitke po vanbilansnim izlozenostima,638
19.,Subordinisani dugovi,"12,000"
20.,UKUPNE OBAVEZE:,"719,067"
21.,Manjinsko ucesce akcionara,
R. br.,KAPITAL,IZNOS
22.,Povlascene akcije,
23.,Obicne akcije,"27,966"
24.,Emisione premije,
25.,Nerasporedjena dobit/gubitak,"8,554"
26.,Ostali kapital,946
27.,UKUPAN KAPITAL: (22. do 26.),"37,465"
28.,UKUPNA PASIVA: (20. + 21. + 27. ),"756,532"
