Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"2,144"
2. Krediti i potrazivanja od banaka,"2,861"
3. Krediti i potrazivanja od klijenata,"14,344"
4. Sredstva namijenjena prodaji,"2,070"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,350
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,350
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",418
13. Nematerijalna sredstva,142
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,98
17. Ostala poslovna potrazivanja,555
18. UKUPNA SREDSTVA:,"22,980"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"14,173"
21. Pozajmljena sredstva od banaka,"3,198"
22. Pozajmljena sredstva od ostalih klijenata,179
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,13
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,143
31. Subordinisani dug,"1,059"
32. UKUPNE OBAVEZE:,"18,764"
Kapital,IZNOS
33. Akcijski kapital,"12,214"
34. Emisione premije,
35. Nerasporedjena dobit,"-7,904"
36. Dobit/gubitak tekuce godine,-196
37. Ostale rezerve,101
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"4,216"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"22,980"
