Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"14,309"
2. Krediti i potrazivanja od banaka,"17,875"
3. Krediti i potrazivanja od klijenata,"62,335"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"11,882"
8.a. - raspolozive za prodaju,"10,132"
8.b. - koje se drze do dospijeca,"1,750"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,730
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","3,359"
13. Nematerijalna sredstva,374
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,751
17. Ostala poslovna potrazivanja,"4,555"
18. UKUPNA SREDSTVA:,"116,171"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"98,172"
21. Pozajmljena sredstva od banaka,8
22. Pozajmljena sredstva od ostalih klijenata,"6,890"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,757
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,11
28. Tekuce poreske obaveze,45
29. Odlozene poreske obaveze,24
30. Ostale obaveze,238
31. Subordinisani dug,"1,002"
32. UKUPNE OBAVEZE:,"107,148"
Kapital,IZNOS
33. Akcijski kapital,"16,002"
34. Emisione premije,
35. Nerasporedjena dobit,"-7,904"
36. Dobit/gubitak tekuce godine,324
37. Ostale rezerve,602
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"9,023"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"116,171"
