Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"26,684"
2. Krediti i potrazivanja od banaka,"51,692"
3. Krediti i potrazivanja od klijenata,"122,734"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"18,562"
8.a. - raspolozive za prodaju,"7,719"
8.b. - koje se drze do dospijeca,"10,842"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,8
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,810"
13. Nematerijalna sredstva,885
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,18
16. Ostala finansijska potrazivanja,509
17. Ostala poslovna potrazivanja,"1,175"
18. UKUPNA SREDSTVA:,"224,077"
Obaveze,IZNOS
19. Depoziti banaka,434
20. Depoziti klijenata,"163,207"
21. Pozajmljena sredstva od banaka,"20,357"
22. Pozajmljena sredstva od ostalih klijenata,"5,118"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"1,080"
28. Tekuce poreske obaveze,252
29. Odlozene poreske obaveze,1
30. Ostale obaveze,"4,765"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"195,214"
Kapital,IZNOS
33. Akcijski kapital,"16,006"
34. Emisione premije,"7,444"
35. Nerasporedjena dobit,"1,311"
36. Dobit/gubitak tekuce godine,"2,367"
37. Ostale rezerve,"1,735"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"28,863"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"224,077"
