Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"28,258"
2. Krediti i potrazivanja od banaka,"12,215"
3. Krediti i potrazivanja od klijenata,"184,263"
4. Sredstva namijenjena prodaji,"11,031"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"2,873"
8.a. - raspolozive za prodaju,18
8.b. - koje se drze do dospijeca,"2,855"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,721"
13. Nematerijalna sredstva,185
14. Tekuca poreska sredstva,102
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,489
17. Ostala poslovna potrazivanja,600
18. UKUPNA SREDSTVA:,"241,737"
Obaveze,IZNOS
19. Depoziti banaka,0
20. Depoziti klijenata,"110,234"
21. Pozajmljena sredstva od banaka,"75,486"
22. Pozajmljena sredstva od ostalih klijenata,"4,903"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,188
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"3,265"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"194,076"
Kapital,IZNOS
33. Akcijski kapital,"117,000"
34. Emisione premije,
35. Nerasporedjena dobit,"-77,046"
36. Dobit/gubitak tekuce godine,"-2,992"
37. Ostale rezerve,"10,700"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"47,662"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"241,737"
