R. br.,AKTIVA,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"57,141"
1.a.,Gotov novac i nekamatonosni racuni depozita,"24,710"
1.b.,Kamatonosni racuni depozita,"32,432"
2.,"Aktiva za trgovinu i raspoloziva za prodaju, izuzev akcija",126
2.a.,HoV za trgovinu,126
2.b.,HoV raspolozive za prodaju,
3.,Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
4.,Krediti i poslovi lizinga,"359,712"
4.a.,Manje:Rezerve za kreditne gubitke,"14,084"
4.b.,Neto krediti i poslovi lizinga,"345,628"
5.,Hartije od vrijednosti koje se drze do dospijeca,
6.,Poslovni prostor i ostala fiksna aktiva,"2,029"
7.,Stecena aktiva,
8.,Ulaganja u kapital drugih pravnih lica,"2,446"
9.,Ostala aktiva,"6,854"
10.,MINUS:Rezerve za potencijalne gubitke na ostalu aktivu (osim pozicije 4.a),161
11.,UKUPNA AKTIVA:,"414,063"
R. br.,PASIVA,iznos
iznos,,
R. br.,OBAVEZE,IZNOS
12.,Depoziti,"98,336"
12.a.,Nekamatonosni depoziti,"21,003"
12.b.,Kamatonosni depoziti,"77,333"
13.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
14.,Obaveze po uzetim kreditima i pozajmicama,"274,191"
14.a.,Kratkorocne - do jedne godine,"20,000"
14.b.,Dugorocne - preko jedne godine,"254,191"
15.,Obaveze prema Vladi,
16.,Ostale pozajmice - dospjele obaveze,
16.a.,Dospjele obaveze,
16.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
17.,Ostale obaveze,"4,407"
18.,Rezerve za potencijalne kreditne gubitke po vanbilansnim izlozenostima,674
19.,Subordinisani dugovi,"15,000"
20.,UKUPNE OBAVEZE:,"392,607"
21.,Manjinsko ucesce akcionara,
R. br.,KAPITAL,IZNOS
22.,Povlascene akcije,
23.,Obicne akcije,"35,000"
24.,Emisione premije,
25.,Nerasporedjena dobit/gubitak,"-13,298"
26.,Ostali kapital,-247
27.,UKUPAN KAPITAL: (22. do 26.),"21,455"
28.,UKUPNA PASIVA: (20. + 21. + 27. ),"414,063"
