Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"21,559"
2. Krediti i potrazivanja od banaka,"3,563"
3. Krediti i potrazivanja od klijenata,"84,966"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"8,889"
8.a. - raspolozive za prodaju,"6,290"
8.b. - koje se drze do dospijeca,"2,599"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","1,199"
13. Nematerijalna sredstva,389
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,165
17. Ostala poslovna potrazivanja,76
18. UKUPNA SREDSTVA:,"120,806"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"87,054"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"25,118"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,2
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,21
30. Ostale obaveze,177
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"112,372"
Kapital,IZNOS
33. Akcijski kapital,"10,700"
34. Emisione premije,
35. Nerasporedjena dobit,"-2,152"
36. Dobit/gubitak tekuce godine,-114
37. Ostale rezerve,
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"8,434"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"120,806"
