Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"86,408"
2. Finansijska sredstva po amortizovanoj vrijednosti,"386,912"
2.a. Krediti i potrazivanja od banaka,"32,770"
2.b. Krediti i potrazivanja od klijenata,"326,765"
2.c. Hartije od vrijednosti,"25,999"
2.d. Ostala finansijska sredstva,"1,378"
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,"19,481"
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,"19,481"
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,
4.d. Ostala finansijska sredstva,
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja",885
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,676
5.c. Hartije od vrijednosti,208
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala",
9. Investicione nekretnine,"1,041"
"10. Nekretnine, postrojenja i oprema","9,343"
11. Nematerijalna sredstva,540
12. Tekuca poreska sredstva,
13. Odlozena poreska sredstva,275
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,
15. Ostala sredstva,"6,270"
16. UKUPNA SREDSTVA:,"511,154"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"435,615"
17.a. Depoziti banaka i centralnih banaka,"21,491"
17.b. Depoziti klijenata,"406,321"
17.c. Krediti banaka i centralnih banaka,
17.d. Krediti klijenata koji nijesu banke,"7,803"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,
18. Finansijske obaveze koje se drze radi trgovanja,
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,
20. Derivatne finansijske obaveze kao instrument zastite,
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,"4,333"
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,552
25. Odlozene poreske obaveze,118
26. Ostale obaveze,"6,574"
27. Subordinisani dug,
28. UKUPNE OBAVEZE:,"447,192"
Kapital,IZNOS
29. Akcijski kapital,"20,261"
30. Emisione premije,"7,146"
31. Nerasporedena dobit,"9,114"
32. Dobit/gubitak tekuce godine,"5,228"
33. Ostale rezerve,"22,214"
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"63,962"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"511,154"
