R. br.,AKTIVA,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"28,082"
1.a.,Gotov novac i nekamatonosni racuni depozita,"13,768"
1.b.,Kamatonosni racuni depozita,"14,314"
2.,"Aktiva za trgovinu i raspoloziva za prodaju, izuzev akcija",
2.a.,HoV za trgovinu,
2.b.,HoV raspolozive za prodaju,
3.,Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
4.,Krediti i poslovi lizinga,"72,202"
4.a.,Manje:Rezerve za kreditne gubitke,842
4.b.,Neto krediti i poslovi lizinga,"71,360"
5.,Hartije od vrijednosti koje se drze do dospijeca,16
6.,Poslovni prostor i ostala fiksna aktiva,"1,567"
7.,Stecena aktiva,54
8.,Ulaganja u kapital drugih pravnih lica,282
9.,Ostala aktiva,874
10.,MINUS:Rezerve za potencijalne gubitke na ostalu aktivu (osim pozicije 4.a),18
11.,UKUPNA AKTIVA:,"102,218"
R. br.,PASIVA,iznos
iznos,,
R. br.,OBAVEZE,IZNOS
12.,Depoziti,"82,908"
12.a.,Nekamatonosni depoziti,"26,391"
12.b.,Kamatonosni depoziti,"56,517"
13.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
14.,Obaveze po uzetim kreditima i pozajmicama,267
14.a.,Kratkorocne - do jedne godine,
14.b.,Dugorocne - preko jedne godine,
15.,Obaveze prema Vladi,"2,704"
16.,Ostale pozajmice - dospjele obaveze,
16.a.,Dospjele obaveze,
16.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
17.,Ostale obaveze,"1,019"
18.,Rezerve za potencijalne kreditne gubitke po vanbilansnim izlozenostima,73
19.,Subordinisani dugovi,
20.,UKUPNE OBAVEZE:,"86,973"
21.,Manjinsko ucesce akcionara,
R. br.,KAPITAL,IZNOS
22.,Povlascene akcije,
23.,Obicne akcije,"14,424"
24.,Emisione premije,
25.,Nerasporedjena dobit/gubitak,821
26.,Ostali kapital,
27.,UKUPAN KAPITAL: (22. do 26.),"15,245"
28.,UKUPNA PASIVA: (20. + 21. + 27. ),"102,218"
