R. br.,Aktiva,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"36,554"
1.a.,Novcana sredstva i nekamatonosni racuni depozita,"22,048"
1.b.,Kamatonosni racuni depozita,"14,506"
1.c.,Sredstva klijenata iz kastodi poslova,
2.,"Aktiva za trgovinu i aktiva raspoloziva za prodaju, izuzev akcija","5,686"
2.a.,"Aktiva za trgovinu, izuzev akcija",
2.b.,"Aktiva raspoloziva za prodaju, izuzev akcija","5,649"
2.c.,"Derivatna, fin. imovina koja se drzi radi trgovanja",
2.d.,"Derivatna, fin. imovina koja se koristi kao instrument zastite (fer vrijednost derivata)",37
3.,Hartije od vrijednosti kupljenje po ugovoru o ponovnoj prodaji,5
4.,Krediti i poslovi lizinga,"137,897"
4.a.,Minus: Rezerve za kreditne gubitke,"4,944"
4.b.,"Krediti i poslovi lizinga, neto rezerve za gubitke","132,953"
5.,Hartije od vrijednosti koje se drze do dospijeca,"2,355"
6.,Faktoring i Forfeting,
7.,Potrazivanja iz kastodi poslova,
8.,Poslovni prostor i ostala fiksna aktiva,"5,158"
9.,Stecena aktiva,218
10.,Ulaganja u kapital drugih pravnih lica,32
11.,Ostala aktiva,"4,709"
12.,MINUS: Rezerve za gubitke na ostalu aktivu (osim pozicije 4.a),276
13.,UKUPNA AKTIVA:,"187,393"
R. br.,Obaveze,IZNOS
14.,Depoziti,"105,799"
14.a.,Nekamatonosni depoziti,"3,371"
14.b.,Kamatonosni depoziti,"102,428"
15.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
16.,Obaveze po osnovu kastodi poslova,
17.,Obaveze po kreditima i pozajmicama,"49,975"
17.a.,Kratkorocne pozajmice - manje od jedne godine,"31,125"
17.b.,Dugorocne pozajmice - preko jedne godine,"18,850"
18.,Obaveze prema Vladi,
19.,Ostale pozajmice - dospjele obaveze,
19.a.,Dospjele obaveze,
19.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
20.,Derivatne finansijske obaveze koje se drze do dospijeca (fer vrijednost),
21.,Derivatne finansijske obaveze koje se koriste kao instrument zastite (fer vrijednost),
22.,Ostale obaveze,"3,998"
23.,Rezerve za kreditne gubitke po vanbilansnim kreditnim izlozenostima,421
24.,Subordinisani dug i hibridni instrumenti,"4,000"
25.,UKUPNE OBAVEZE,"164,192"
26.,MANJINSKO UCESCE AKCIONARA,
R. br.,Kapital,IZNOS
27.,Povlascene akcije,
28.,Obicne akcije,"5,339"
29.,Emisione premije,"1,571"
30.,Nerasporedjena dobit/gubitak,"15,549"
31.,Ostali kapital,741
32.,UKUPAN KAPITAL: (27. do 31.),"23,200"
33.,UKUPNA PASIVA: (25. + 26. + 32. ),"187,393"
