Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"80,134"
2. Finansijska sredstva po amortizovanoj vrijednosti,"470,486"
2.a. Krediti i potrazivanja od banaka,"47,377"
2.b. Krediti i potrazivanja od klijenata,"423,037"
2.c. Hartije od vrijednosti,
2.d. Ostala finansijska sredstva,72
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,
4.d. Ostala finansijska sredstva,
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja","1,405"
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,
5.c. Hartije od vrijednosti,"1,405"
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala",
9. Investicione nekretnine,618
"10. Nekretnine, postrojenja i oprema","9,109"
11. Nematerijalna sredstva,333
12. Tekuca poreska sredstva,
13. Odlozena poreska sredstva,490
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,19
15. Ostala sredstva,"1,468"
16. UKUPNA SREDSTVA:,"564,062"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"482,022"
17.a. Depoziti banaka i centralnih banaka,3
17.b. Depoziti klijenata,"350,398"
17.c. Krediti banaka i centralnih banaka,"101,670"
17.d. Krediti klijenata koji nijesu banke,"29,950"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,
18. Finansijske obaveze koje se drze radi trgovanja,
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,
20. Derivatne finansijske obaveze kao instrument zastite,
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,"2,766"
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,68
25. Odlozene poreske obaveze,197
26. Ostale obaveze,"8,325"
27. Subordinisani dug,
28. UKUPNE OBAVEZE:,"493,379"
Kapital,IZNOS
29. Akcijski kapital,"24,731"
30. Emisione premije,
31. Nerasporedena dobit,"38,086"
32. Dobit/gubitak tekuce godine,"2,049"
33. Ostale rezerve,"5,818"
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"70,683"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"564,062"
