Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"103,149"
2. Finansijska sredstva po amortizovanoj vrijednosti,"399,648"
2.a. Krediti i potrazivanja od banaka,"9,740"
2.b. Krediti i potrazivanja od klijenata,"389,909"
2.c. Hartije od vrijednosti,
2.d. Ostala finansijska sredstva,
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,"31,165"
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,"31,165"
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,
4.d. Ostala finansijska sredstva,
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja","1,835"
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,
5.c. Hartije od vrijednosti,"1,835"
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala",
9. Investicione nekretnine,
"10. Nekretnine, postrojenja i oprema","9,557"
11. Nematerijalna sredstva,466
12. Tekuca poreska sredstva,
13. Odlozena poreska sredstva,198
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,309
15. Ostala sredstva,"1,770"
16. UKUPNA SREDSTVA:,"548,097"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"467,232"
17.a. Depoziti banaka i centralnih banaka,0
17.b. Depoziti klijenata,"383,268"
17.c. Krediti banaka i centralnih banaka,"46,000"
17.d. Krediti klijenata koji nijesu banke,"37,964"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,
18. Finansijske obaveze koje se drze radi trgovanja,
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,
20. Derivatne finansijske obaveze kao instrument zastite,
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,"3,721"
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,
25. Odlozene poreske obaveze,279
26. Ostale obaveze,"10,250"
27. Subordinisani dug,
28. UKUPNE OBAVEZE:,"481,482"
Kapital,IZNOS
29. Akcijski kapital,"24,731"
30. Emisione premije,
31. Nerasporedena dobit,"29,410"
32. Dobit/gubitak tekuce godine,"5,307"
33. Ostale rezerve,"7,168"
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"66,615"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"548,097"
