R. br.,AKTIVA,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"32,661"
1.a.,Gotov novac i nekamatonosni racuni depozita,"16,397"
1.b.,Kamatonosni racuni depozita,"16,265"
2.,"Aktiva za trgovinu i raspoloziva za prodaju, izuzev akcija",
2.a.,HoV za trgovinu,
2.b.,HoV raspolozive za prodaju,
3.,Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
4.,Krediti i poslovi lizinga,"33,110"
4.a.,Manje:Rezerve za kreditne gubitke,"3,301"
4.b.,Neto krediti i poslovi lizinga,"29,809"
5.,Hartije od vrijednosti koje se drze do dospijeca,"1,798"
6.,Poslovni prostor i ostala fiksna aktiva,"2,773"
7.,Stecena aktiva,
8.,Ulaganja u kapital drugih pravnih lica,"4,745"
9.,Ostala aktiva,523
10.,MINUS:Rezerve za potencijalne gubitke na ostalu aktivu (osim pozicije 4.a),205
11.,UKUPNA AKTIVA:,"72,104"
R. br.,PASIVA,iznos
iznos,,
R. br.,OBAVEZE,IZNOS
12.,Depoziti,"47,814"
12.a.,Nekamatonosni depoziti,"15,415"
12.b.,Kamatonosni depoziti,"32,399"
13.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
14.,Obaveze po uzetim kreditima i pozajmicama,375
14.a.,Kratkorocne - do jedne godine,
14.b.,Dugorocne - preko jedne godine,
15.,Obaveze prema Vladi,"1,490"
16.,Ostale pozajmice - dospjele obaveze,
16.a.,Dospjele obaveze,
16.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
17.,Ostale obaveze,"2,968"
18.,Rezerve za potencijalne kreditne gubitke po vanbilansnim izlozenostima,968
19.,Subordinisani dugovi,
20.,UKUPNE OBAVEZE:,"53,614"
21.,Manjinsko ucesce akcionara,
R. br.,KAPITAL,IZNOS
22.,Povlascene akcije,
23.,Obicne akcije,"14,634"
24.,Emisione premije,
25.,Nerasporedjena dobit/gubitak,"3,240"
26.,Ostali kapital,615
27.,UKUPAN KAPITAL: (22. do 26.),"18,490"
28.,UKUPNA PASIVA: (20. + 21. + 27. ),"72,104"
