Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"56,784"
2. Krediti i potrazivanja od banaka,"21,068"
3. Krediti i potrazivanja od klijenata,"338,222"
4. Sredstva namijenjena prodaji,794
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"38,155"
8.a. - raspolozive za prodaju,"33,682"
8.b. - koje se drze do dospijeca,"4,474"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","10,294"
13. Nematerijalna sredstva,326
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,69
16. Ostala finansijska potrazivanja,341
17. Ostala poslovna potrazivanja,"2,147"
18. UKUPNA SREDSTVA:,"468,201"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"338,049"
21. Pozajmljena sredstva od banaka,"15,133"
22. Pozajmljena sredstva od ostalih klijenata,"47,156"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"4,254"
28. Tekuce poreske obaveze,35
29. Odlozene poreske obaveze,248
30. Ostale obaveze,"2,929"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"407,804"
Kapital,IZNOS
33. Akcijski kapital,"24,731"
34. Emisione premije,
35. Nerasporedjena dobit,"20,349"
36. Dobit/gubitak tekuce godine,"7,210"
37. Ostale rezerve,"8,108"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"60,398"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"468,201"
