R. br.,AKTIVA,IZNOS
1.,Novcana sredstva i racuni depozita kod depozitnih institucija,"3,388"
1.a.,Gotov novac i nekamatonosni racuni depozita,"3,306"
1.b.,Kamatonosni racuni depozita,82
2.,"Aktiva za trgovinu i raspoloziva za prodaju, izuzev akcija",
2.a.,HoV za trgovinu,
2.b.,HoV raspolozive za prodaju,
3.,Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
4.,Krediti i poslovi lizinga,"8,535"
4.a.,Manje:Rezerve za kreditne gubitke,482
4.b.,Neto krediti i poslovi lizinga,"8,054"
5.,Hartije od vrijednosti koje se drze do dospijeca,
6.,Poslovni prostor i ostala fiksna aktiva,736
7.,Stecena aktiva,582
8.,Ulaganja u kapital drugih pravnih lica,44
9.,Ostala aktiva,330
10.,MINUS:Rezerve za potencijalne gubitke na ostalu aktivu (osim pozicije 4.a),62
11.,UKUPNA AKTIVA:,"13,073"
R. br.,PASIVA,iznos
iznos,,
R. br.,OBAVEZE,IZNOS
12.,Depoziti,"5,546"
12.a.,Nekamatonosni depoziti,"1,396"
12.b.,Kamatonosni depoziti,"4,151"
13.,Hartije od vrijednosti prodate po ugovoru o rekupovini,
14.,Obaveze po uzetim kreditima i pozajmicama,129
14.a.,Kratkorocne - do jedne godine,
14.b.,Dugorocne - preko jedne godine,
15.,Obaveze prema Vladi,"1,195"
16.,Ostale pozajmice - dospjele obaveze,
16.a.,Dospjele obaveze,
16.b.,Stanje neizmirenih - pozvanih za placanje vanbilansnih obaveza,
17.,Ostale obaveze,214
18.,Rezerve za potencijalne kreditne gubitke po vanbilansnim izlozenostima,46
19.,Subordinisani dugovi,
20.,UKUPNE OBAVEZE:,"7,130"
21.,Manjinsko ucesce akcionara,
R. br.,KAPITAL,IZNOS
22.,Povlascene akcije,
23.,Obicne akcije,"5,217"
24.,Emisione premije,
25.,Nerasporedjena dobit/gubitak,210
26.,Ostali kapital,516
27.,UKUPAN KAPITAL: (22. do 26.),"5,943"
28.,UKUPNA PASIVA: (20. + 21. + 27. ),"13,073"
