Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"13,287"
2. Krediti i potrazivanja od banaka,"6,221"
3. Krediti i potrazivanja od klijenata,"14,703"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",366
13. Nematerijalna sredstva,337
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,2
17. Ostala poslovna potrazivanja,10
18. UKUPNA SREDSTVA:,"34,925"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"28,770"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,300
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,60
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"29,131"
Kapital,IZNOS
33. Akcijski kapital,"6,500"
34. Emisione premije,
35. Nerasporedjena dobit,
36. Dobit/gubitak tekuce godine,-706
37. Ostale rezerve,
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"5,794"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"34,925"
