POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"11,142"
2. Rashodi od kamata i slicni rashodi,"5,582"
3. NETO PRIHODI OD KAMATA (1- 2),"5,560"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,-441
6. Troskovi rezervisanja,59
7. Prihodi od naknada i provizija,"4,833"
8. Rahodi naknada i provizija,"1,850"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,984"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,-161
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-77
15. Troskovi zaposlenih,"4,080"
16. Opsti i administrativni troskovi,"4,179"
17. Troskovi amortizacije,780
18. Ostali rashodi,150
19. Ostali prihodi,610
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),108
21. Porez na prihod,-64
22. NETO PROFIT/GUBITAK (20 - 21),172
