POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,458
2. Rashodi od kamata i slicni rashodi,50
3. NETO PRIHODI OD KAMATA (1- 2),408
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,32
6. Troskovi rezervisanja,6
7. Prihodi od naknada i provizija,73
8. Rahodi naknada i provizija,106
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),-33
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,0
15. Troskovi zaposlenih,919
16. Opsti i administrativni troskovi,755
17. Troskovi amortizacije,221
18. Ostali rashodi,5
19. Ostali prihodi,0
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"-1,564"
21. Porez na prihod,1
22. NETO PROFIT/GUBITAK (20 - 21),"-1,565"
