POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"23,303"
2. Prihodi od kamata na obezvrijedene plasmane,717
3. Rashodi od kamata i slicni rashodi,642
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"23,377"
4. Prihodi od naknada i provizija,"10,806"
5. Rashodi naknada i provizija,"6,442"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"4,364"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,474
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,200
12. Ostali prihodi,685
13. Troskovi zaposlenih,"7,133"
14. Troskovi amortizacije,"2,699"
15. Opsti i administrativni troskovi,"4,738"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"4,201"
18. Troskovi rezervisanja,29
19. Ostali rashodi,37
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"10,264"
21. Porez na dobit,833
22. NETO PROFIT/GUBITAK (III - 21),"9,431"
