,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,11
,1) Depoziti,2
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,9
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,
RA 1.,Rashodi kamata,4
,1) Depoziti,4
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),7
II.,Troskovi za gubitke,107
III.,NETO PRIHODI / RASHODI (I-II),-100
PR 2.,Prihodi od naknada,12
,1) Naknade po kreditima,8
,2) Naknade po vanbilansnim poslovima,3
,3) Naknade za izvrsene usluge,2
,4) Ostale naknade,
RA 2.,Rashodi od naknada,7
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,7
,4) Ostale naknade,0
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),5
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),-95
PR 3.,Ostali prihodi,
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Prihodi iz kursnih razlika ( revalorizacija ),
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,
RA 3.,Opsti troskovi,352
,1) Troskovi plata i doprinosa,171
,2) Troskovi poslovnog prostora i fiksne aktive,67
,3)Ostali troskovi,113
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),-447
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),-447
RA 5.,Porezi i doprinosi iz dobitka,
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),-447
