POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"17,291"
2. Prihodi od kamata na obezvrijedene plasmane,
3. Rashodi od kamata i slicni rashodi,"3,679"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"13,612"
4. Prihodi od naknada i provizija,"15,966"
5. Rashodi naknada i provizija,"7,328"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"8,638"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,105
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,698
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,78
12. Ostali prihodi,277
13. Troskovi zaposlenih,"5,173"
14. Troskovi amortizacije,955
15. Opsti i administrativni troskovi,"8,761"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"3,563"
18. Troskovi rezervisanja,62
19. Ostali rashodi,174
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"4,721"
21. Porez na dobit,411
22. NETO PROFIT/GUBITAK (III - 21),"4,310"
