POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"9,156"
2. Rashodi od kamata i slicni rashodi,"3,493"
3. NETO PRIHODI OD KAMATA (1- 2),"5,663"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"3,127"
6. Troskovi rezervisanja,"-1,921"
7. Prihodi od naknada i provizija,"2,312"
8. Rahodi naknada i provizija,"1,249"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,063"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,35
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,140
15. Troskovi zaposlenih,"3,024"
16. Opsti i administrativni troskovi,"3,297"
17. Troskovi amortizacije,268
18. Ostali rashodi,13
19. Ostali prihodi,"1,326"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),420
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),420
