POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"14,183"
2. Rashodi od kamata i slicni rashodi,"6,537"
3. NETO PRIHODI OD KAMATA (1- 2),"7,646"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"5,540"
6. Troskovi rezervisanja,95
7. Prihodi od naknada i provizija,"2,573"
8. Rahodi naknada i provizija,"1,132"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,441"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,83
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,71
15. Troskovi zaposlenih,"4,578"
16. Opsti i administrativni troskovi,"4,105"
17. Troskovi amortizacije,469
18. Ostali rashodi,157
19. Ostali prihodi,"2,491"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"-3,213"
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),"-3,213"
