POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"1,096"
2. Rashodi od kamata i slicni rashodi,547
3. NETO PRIHODI OD KAMATA (1- 2),550
4. Prihodi od dividendi,4
5. Troskovi obezvrjedjenja,57
6. Troskovi rezervisanja,-2
7. Prihodi od naknada i provizija,129
8. Rahodi naknada i provizija,110
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),19
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,6
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,-5
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,18
15. Troskovi zaposlenih,329
16. Opsti i administrativni troskovi,215
17. Troskovi amortizacije,50
18. Ostali rashodi,11
19. Ostali prihodi,81
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),13
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),13
