,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,751
,1) Depoziti,28
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,723
,4) Hartije od vrijednosti koje se drze do dospijeca,0
,5) Ostali prihodi od kamata,0
RA 1.,Rashodi kamata,53
,1) Depoziti,31
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,22
,5) Subordinisani dugovi I hibridni instrumenti,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),698
II.,Troskovi za gubitke po stavkama aktive,539
III.,NETO PRIHODI / RASHODI (I-II),159
PR 2.,Prihodi od naknada,278
,1) Naknade po kreditima,66
,2) Naknade po vanbilansnim poslovima,5
,3) Naknade za izvrsene usluge,5
,4) Ostale naknade,202
RA 2.,Rashodi od naknada,169
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,78
,4) Ostale naknade,91
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),109
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),267
PR 3.,Ostali prihodi,603
,1) Prihodi iz poslovanja sa devizama (neto),9
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-1
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),282
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",260
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,54
RA 3.,Opsti i ostali troskovi,979
,1) Troskovi plata,493
,2) Troskovi poslovnog prostora i fiksne aktive,339
,3) Ostali troskovi,147
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),-108
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,0
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),0
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),-108
RA 5.,Porezi i doprinosi iz dobitka,
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),-108
