,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"1,432"
,1) Depoziti,
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"1,386"
,4) Hartije od vrijednosti koje se drze do dospijeca,27
,5) Ostali prihodi od kamata,19
RA 1.,Rashodi kamata,203
,1) Depoziti,170
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,32
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,1
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"1,229"
II.,Troskovi za gubitke,237
III.,NETO PRIHODI / RASHODI (I-II),992
PR 2.,Prihodi od naknada,"1,862"
,1) Naknade po kreditima,320
,2) Naknade po vanbilansnim poslovima,148
,3) Naknade za izvrsene usluge,865
,4) Ostale naknade,529
RA 2.,Rashodi od naknada,166
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,162
,4) Ostale naknade,4
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,696"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"2,688"
PR 3.,Ostali prihodi,76
,1) Prihodi iz poslovanja sa devizama (neto),11
,2) Prihodi iz kursnih razlika ( revalorizacija ),14
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,51
RA 3.,Opsti troskovi,"2,169"
,1) Troskovi plata i doprinosa,"1,202"
,2) Troskovi poslovnog prostora i fiksne aktive,471
,3)Ostali troskovi,497
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),595
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),595
RA 5.,Porezi i doprinosi iz dobitka,57
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),538
