,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"8,868"
,1) Depoziti,33
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"8,274"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,561
RA 1.,Rashodi kamata,"4,991"
,1) Depoziti,"4,415"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,320
,5) Subordinisani dugovi I hibridni instrumenti,
,6) Ostali rashodi po kamatama,256
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"3,878"
II.,Troskovi za gubitke po stavkama aktive,"3,749"
III.,NETO PRIHODI / RASHODI (I-II),129
PR 2.,Prihodi od naknada,"1,041"
,1) Naknade po kreditima,343
,2) Naknade po vanbilansnim poslovima,129
,3) Naknade za izvrsene usluge,454
,4) Ostale naknade,114
RA 2.,Rashodi od naknada,728
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,235
,4) Ostale naknade,493
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),313
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),442
PR 3.,Ostali prihodi,-526
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-531
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,5
RA 3.,Opsti i ostali troskovi,"2,830"
,1) Troskovi plata,"1,276"
,2) Troskovi poslovnog prostora i fiksne aktive,874
,3) Ostali troskovi,680
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),"-2,915"
PR 4.,Vanredni prihodi,5
RA 4.,Vanredni rashodi,0
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),5
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),"-2,910"
RA 5.,Porezi i doprinosi iz dobitka,
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),"-2,910"
