POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"4,043"
2. Rashodi od kamata i slicni rashodi,"1,826"
3. NETO PRIHODI OD KAMATA (1- 2),"2,218"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,805
6. Troskovi rezervisanja,
7. Prihodi od naknada i provizija,865
8. Rahodi naknada i provizija,486
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),379
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,30
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,25
15. Troskovi zaposlenih,985
16. Opsti i administrativni troskovi,"1,233"
17. Troskovi amortizacije,239
18. Ostali rashodi,197
19. Ostali prihodi,110
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-697
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-697
