,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"10,050"
,1) Depoziti,150
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"9,362"
,4) Hartije od vrijednosti koje se drze do dospijeca,17
,5) Ostali prihodi od kamata,521
RA 1.,Rashodi kamata,"3,499"
,1) Depoziti,"1,664"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,"1,689"
,5) Subordinisani dugovi I hibridni instrumenti,101
,6) Ostali rashodi po kamatama,45
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"6,550"
II.,Troskovi za gubitke po stavkama aktive,"1,994"
III.,NETO PRIHODI / RASHODI (I-II),"4,556"
PR 2.,Prihodi od naknada,738
,1) Naknade po kreditima,197
,2) Naknade po vanbilansnim poslovima,7
,3) Naknade za izvrsene usluge,456
,4) Ostale naknade,78
RA 2.,Rashodi od naknada,405
,1) Naknade po kreditima,54
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,324
,4) Ostale naknade,27
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),332
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"4,888"
PR 3.,Ostali prihodi,651
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),71
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",9
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,571
RA 3.,Opsti i ostali troskovi,"5,075"
,1) Troskovi plata,"3,146"
,2) Troskovi poslovnog prostora i fiksne aktive,777
,3) Ostali troskovi,"1,152"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),464
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),464
RA 5.,Porezi i doprinosi iz dobitka,42
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),423
