,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"15,565"
,1) Depoziti,289
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"14,414"
,4) Hartije od vrijednosti koje se drze do dospijeca,32
,5) Ostali prihodi od kamata,829
RA 1.,Rashodi kamata,"5,294"
,1) Depoziti,"2,685"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,"2,413"
,5) Subordinisani dugovi I hibridni instrumenti,135
,6) Ostali rashodi po kamatama,61
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"10,271"
II.,Troskovi za gubitke po stavkama aktive,"3,771"
III.,NETO PRIHODI / RASHODI (I-II),"6,500"
PR 2.,Prihodi od naknada,"1,752"
,1) Naknade po kreditima,854
,2) Naknade po vanbilansnim poslovima,25
,3) Naknade za izvrsene usluge,754
,4) Ostale naknade,119
RA 2.,Rashodi od naknada,588
,1) Naknade po kreditima,86
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,466
,4) Ostale naknade,36
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,163"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"7,664"
PR 3.,Ostali prihodi,726
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),113
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",37
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,576
RA 3.,Opsti i ostali troskovi,"7,645"
,1) Troskovi plata,"4,660"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,164"
,3) Ostali troskovi,"1,821"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),744
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),744
RA 5.,Porezi i doprinosi iz dobitka,74
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),670
