POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"17,702"
2. Rashodi od kamata i slicni rashodi,"3,043"
3. NETO PRIHODI OD KAMATA (1- 2),"14,659"
4. Prihodi od dividendi,2
5. Troskovi obezvrjedjenja,"1,258"
6. Troskovi rezervisanja,348
7. Prihodi od naknada i provizija,"3,830"
8. Rahodi naknada i provizija,"1,991"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,839"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,269
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,304
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-56
15. Troskovi zaposlenih,"5,682"
16. Opsti i administrativni troskovi,"3,288"
17. Troskovi amortizacije,819
18. Ostali rashodi,84
19. Ostali prihodi,772
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"6,309"
21. Porez na prihod,526
22. NETO PROFIT/GUBITAK (20 - 21),"5,783"
