POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"18,093"
2. Prihodi od kamata na obezvrijedene plasmane,191
3. Rashodi od kamata i slicni rashodi,"1,352"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"16,932"
4. Prihodi od naknada i provizija,"6,070"
5. Rashodi naknada i provizija,"4,268"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"1,802"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,0
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-135
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,195
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,-12
12. Ostali prihodi,283
13. Troskovi zaposlenih,"5,936"
14. Troskovi amortizacije,867
15. Opsti i administrativni troskovi,"3,304"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"2,686"
18. Troskovi rezervisanja,64
19. Ostali rashodi,126
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"6,082"
21. Porez na dobit,491
22. NETO PROFIT/GUBITAK (III - 21),"5,591"
