,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,735
,1) Depoziti,1
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,705
,4) Hartije od vrijednosti koje se drze do dospijeca,19
,5) Ostali prihodi od kamata,10
RA 1.,Rashodi kamata,194
,1) Depoziti,152
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,42
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),541
II.,Troskovi za gubitke,127
III.,NETO PRIHODI / RASHODI (I-II),414
PR 2.,Prihodi od naknada,288
,1) Naknade po kreditima,7
,2) Naknade po vanbilansnim poslovima,82
,3) Naknade za izvrsene usluge,192
,4) Ostale naknade,8
RA 2.,Rashodi od naknada,57
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,56
,4) Ostale naknade,1
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),231
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),645
PR 3.,Ostali prihodi,58
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Prihodi iz kursnih razlika ( revalorizacija ),-3
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,61
RA 3.,Opsti troskovi,677
,1) Troskovi plata i doprinosa,404
,2) Troskovi poslovnog prostora i fiksne aktive,121
,3)Ostali troskovi,152
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),26
PR 4.,Vanredni prihodi,1
RA 4.,Vanredni rashodi,4
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-4
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),22
RA 5.,Porezi i doprinosi iz dobitka,4
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),18
